,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,Color
926,9/8/20,2020,9,8,Tuesday,36,2020-36,1288.28,1335.07,1275.01,1299.75,318600,1299.75,-0.010641441000000001,1291.8614289999998,1182.2274,Red
927,9/9/20,2020,9,9,Wednesday,36,2020-36,1322.0,1337.84,1306.11,1321.03,305200,1321.03,0.016372402,1299.122857,1187.729,Red
928,9/10/20,2020,9,10,Thursday,36,2020-36,1327.39,1359.72,1305.0,1308.49,329800,1308.49,-0.009492622,1304.022857,1192.8516,Red
929,9/11/20,2020,9,11,Friday,36,2020-36,1325.27,1326.0,1272.11,1297.47,310900,1297.47,-0.008421936,1307.182143,1197.4338,Red
930,9/14/20,2020,9,14,Monday,37,2020-37,1311.62,1318.0,1254.53,1267.19,437800,1267.19,-0.02333775,1308.999286,1201.6486,Red
931,9/15/20,2020,9,15,Tuesday,37,2020-37,1283.6,1291.39,1269.1,1277.36,329800,1277.36,0.008025667,1309.55,1204.6774,Red
932,9/16/20,2020,9,16,Wednesday,37,2020-37,1286.46,1286.84,1264.13,1265.87,304700,1265.87,-0.008995106999999999,1308.735,1207.8128,Red
933,9/17/20,2020,9,17,Thursday,37,2020-37,1240.74,1251.39,1209.03,1225.37,452200,1225.37,-0.031993807,1304.8592859999999,1210.0316,Red
934,9/18/20,2020,9,18,Friday,37,2020-37,1231.0,1247.36,1200.94,1215.48,783300,1215.48,-0.008071044,1298.714286,1212.0296,Red
935,9/21/20,2020,9,21,Monday,38,2020-38,1194.24,1207.81,1180.0,1206.52,308600,1206.52,-0.007371541,1291.3028570000001,1213.7992,Green
936,9/22/20,2020,9,22,Tuesday,38,2020-38,1223.83,1242.64,1215.37,1234.58,302400,1234.58,0.023256917000000002,1281.471429,1216.7124,Green
937,9/23/20,2020,9,23,Wednesday,38,2020-38,1250.33,1290.93,1240.44,1248.39,531800,1248.39,0.011186038,1272.14,1219.6198,Green
938,9/24/20,2020,9,24,Thursday,38,2020-38,1239.49,1245.93,1215.52,1229.28,240500,1229.28,-0.015307703999999998,1265.036429,1221.5324,Green
939,9/25/20,2020,9,25,Friday,38,2020-38,1223.86,1253.48,1217.39,1244.5,234400,1244.5,0.012381207,1260.0914289999998,1223.8322,Green
940,9/28/20,2020,9,28,Monday,39,2020-39,1263.16,1274.94,1243.5,1263.35,196100,1263.35,0.015146626000000002,1257.491429,1226.3748,Green
941,9/29/20,2020,9,29,Tuesday,39,2020-39,1263.26,1266.7,1245.13,1261.61,178800,1261.61,-0.001377283,1253.247143,1228.3326,Green
942,9/30/20,2020,9,30,Wednesday,39,2020-39,1261.8,1272.0,1234.37,1243.71,286900,1243.71,-0.014188238999999998,1248.62,1229.9448,Green
943,10/1/20,2020,10,1,Thursday,39,2020-39,1255.57,1265.0,1231.0,1238.02,349000,1238.02,-0.004574975,1244.373571,1230.9998,Green
944,10/2/20,2020,10,2,Friday,39,2020-39,1214.3,1265.71,1214.0,1254.8,281600,1254.8,0.013553923999999998,1243.488571,1233.6752,Green
945,10/5/20,2020,10,5,Monday,40,2020-40,1258.07,1264.0,1242.0,1253.01,200200,1253.01,-0.001426553,1241.749286,1236.1302,Green
946,10/6/20,2020,10,6,Tuesday,40,2020-40,1252.48,1291.98,1248.03,1256.41,469500,1256.41,0.002713485,1241.0735710000001,1238.3998,Green
